Deal Type,Announce Date,Amendment Date,Completion/Termination Date,Target Name,Target Ticker,Acquirer Name,Acquirer Ticker,Announced Total Value (mil.),Announced Equity Value (mil.),Payment Type,TV/EBITDA,Deal Status,Acquirer Termination Fee,Cash Terms,Nature of Bid,Stock Terms
M&A,1/11/2008, ,7/1/2008,Countrywide Financial Corp,CFC US,Bank of America Corp,BAC US,4334.97,4334.97,Stock,0.37,Completed, ,N/A,Friendly,.1822 Aqr sh./Tgt sh.
M&A,2/21/2013,11/4/2013,12/17/2013,Berry Petroleum Co LLC,1631929D US,LinnCo LLC,LNCOQ US,4331.24,2718.93,Stock,7.97,Completed,83.7,N/A,Friendly,1.6800 Aqr sh./Tgt sh.
M&A,5/16/2016, ,9/19/2016,Range Resources-Louisiana Inc,MRD US,Range Resources Corp,RRC US,4287.41,3173.92,Stock, ,Completed,300,N/A,Friendly,.3750 Aqr sh./Tgt sh.
M&A,4/1/2009, ,10/2/2009,Metavante Technologies Inc,MV US,Fidelity National Information Services Inc,FIS US,4284.97,2816.87,Stock,8.79,Completed, ,N/A,Friendly,1.3500 Aqr sh./Tgt sh.
M&A,1/28/2019, ,8/1/2019,TCF Financial Corp/DE,9745633D US,TCF Financial Corp,TCF US,4270.19,3407.77,Stock, ,Completed, ,N/A,Friendly,.5081 Aqr sh./Tgt sh.
M&A,12/3/2014, ,7/18/2016,Hawaiian Electric Industries Inc,HE US,NextEra Energy Inc,NEE US,4264.82,2564.82,Stock,8.22,Terminated,90,N/A,Friendly,.2413 Aqr sh./Tgt sh.
M&A,4/21/2021, ,7/14/2021,Welbilt Inc,WBT US,Middleby Corp/The,MIDD US,4221.15,2889.95,Stock,26.9,Terminated, ,N/A,Friendly,.1240 Aqr sh./Tgt sh.
M&A,7/23/2012, ,12/17/2012,GenOn Energy Inc,1235274D US,NRG Energy Inc,NRG US,4210.09,1605.09,Stock,7.81,Completed,120,N/A,Friendly,.1216 Aqr sh./Tgt sh.
M&A,4/16/2019, ,7/29/2019,Liberty Expedia Holdings Inc,LEXEA US,Expedia Group Inc,EXPE US,4203.45,2525.45,Stock,3.27,Completed, ,N/A,Unsolicited to Friendly,.3600 Aqr sh./Tgt sh.
M&A,1/29/2013, ,5/2/2013,Copano Energy LLC,CPNO US,Kinder Morgan Energy Partners LP,KMP US,4151.13,3111.9,Stock,27.47,Completed,75,N/A,Friendly,.4563 Aqr sh./Tgt sh.
M&A,12/15/2003, ,10/1/2004,Enterprise GTM Holdings LP,GTM US,Enterprise Products Partners LP,EPD US,4147.75,2315.92,Stock,11.45,Completed, ,N/A,Friendly,1.8100 Aqr sh./Tgt sh.
M&A,1/28/2019, ,4/12/2019,Versum Materials Inc,VSM US,Entegris Inc,ENTG US,4111.57,3531.37,Stock,9.49,Terminated,155,N/A,Friendly,1.1200 Aqr sh./Tgt sh.
M&A,11/2/2023, ,7/2/2024,Six Flags Entertainment Corp,SIX US,Cedar Fair LP,9933644D US,4097.88,1727.49,Stock,8.12,Completed, ,N/A,Friendly,.5800 Aqr sh./Tgt sh.
M&A,6/3/2013, ,10/2/2013,Colonial Properties Trust,CLP US,Mid-America Apartment Communities Inc,MAA US,4041.7,2291.58,Stock,20.06,Completed,75,N/A,Friendly,.3600 Aqr sh./Tgt sh.
M&A,5/8/2017, ,8/17/2017,Care Capital Properties Inc,CCP US,Sabra Health Care REIT Inc,SBRA US,4034.62,2635.92,Stock,13.64,Completed,15,N/A,Friendly,1.1230 Aqr sh./Tgt sh.
M&A,10/28/2021, ,2/28/2022,Momentive Global Inc,MNTV US,Zendesk Inc,ZEN US,4027.59,4017.09,Stock, ,Terminated, ,N/A,Friendly,.2250 Aqr sh./Tgt sh.
M&A,3/26/2018, ,7/2/2018,Tallgrass Energy Partners LP,TEP US,Tallgrass Energy LP,TGE US,4003.37,1858.18,Stock,13.45,Completed, ,N/A,Friendly,2.0000 Aqr sh./Tgt sh.
M&A,4/29/2018, ,4/1/2020,Sprint Corp,1897377D US,T-Mobile US Inc,TMUS US,3968.68,3968.68,Stock,2.29,Completed, ,N/A,Friendly,.1026 Aqr sh./Tgt sh.
M&A,5/11/2015, ,7/21/2015,Rosetta Resources Inc,1477069D US,Noble Energy Inc,NBL US,3916.77,2085.9,Stock, ,Completed, ,N/A,Friendly,.5420 Aqr sh./Tgt sh.
M&A,12/4/2006, ,4/2/2007,Agere Systems Inc,3527578Q US,LSI Corp,1431816D US,3777.95,3821.95,Stock,18.89,Completed,120,N/A,Friendly,2.1600 Aqr sh./Tgt sh.
M&A,3/17/2004, ,8/3/2004,Apogent Technologies Inc,AOT US,Fisher Scientific International LLC,FSH US,3711.67,2763.13,Stock,11.86,Completed, ,N/A,Friendly,.5600 Aqr sh./Tgt sh.
M&A,2/9/2023, ,9/5/2023,NuVasive Inc,NUVA US,Globus Medical Inc,GMED US,3707.52,2938.46,Stock,18.31,Completed, ,N/A,Friendly,.7500 Aqr sh./Tgt sh.
M&A,11/4/2019, ,7/2/2020,IBERIABANK Corp,IBKC US,First Horizon Corp,FHN US,3705.07,3705.07,Stock, ,Completed,156,N/A,Friendly,4.5840 Aqr sh./Tgt sh.
M&A,9/17/2018, ,1/2/2019,Select Income REIT,SIR US,Office Properties Income Trust,OPI US,3680.12,N/A,Stock,12.67,Completed, ,N/A,Friendly,1.04 Aqr sh./Tgt sh.
M&A,5/4/2005, ,8/8/2005,Spectrasite Inc,702901Q US,American Tower Corp,AMT US,3666.58,2951.23,Stock,16.48,Completed,110,N/A,Friendly,3.5750 Aqr sh./Tgt sh.
M&A,4/29/2016, ,10/6/2016,Parkway Properties Inc/Md,1448021D US,Cousins Properties Inc,CUZ US,3575.55,1862.18,Stock,9.34,Completed,65,N/A,Friendly,1.6300 Aqr sh./Tgt sh.
M&A,5/3/2023, ,6/26/2023,Amedisys Inc,AMED US,Option Care Health Inc,OPCH US,3568.18,3132.18,Stock,14.18,Terminated,106,N/A,Friendly,3.0213 Aqr sh./Tgt sh.
M&A,12/18/2017, ,5/11/2018,Chicago Bridge & Iron Co NV,CBI US,McDermott International Inc,MDRIQ US,3566,1827.96,Stock, ,Completed, ,N/A,Friendly,.8241 Aqr sh./Tgt sh.
M&A,7/23/2018, ,12/20/2018,Corporate Capital Trust Inc,CCT US,FS KKR Capital Corp,FSK US,3558.49,2119.4,Stock, ,Completed,75.1171,N/A,Friendly,2.3552 Aqr sh./Tgt sh.
M&A,6/25/2006, ,11/10/2006,Fidelity National Financial Inc/Old,838969Q US,Fidelity National Information Services Inc,FIS US,3448.75,3448.75,Stock, ,Completed, ,N/A,Friendly,.5347 Aqr sh./Tgt sh.
M&A,9/12/2005, ,3/1/2006,Westcorp,2266132Q US,Wachovia Corp,1255173D US,3373.43,3373.43,Stock, ,Completed, ,N/A,Friendly,1.2749 Aqr sh./Tgt sh.
M&A,4/7/2004, ,6/28/2004,Westport Resources Corp,649848Q US,Kerr-McGee Corp,0544749D US,3371.58,2464.35,Stock,6.77,Completed, ,N/A,Friendly,.7100 Aqr sh./Tgt sh.
M&A,6/12/2011, ,9/16/2011,Transatlantic Holdings Inc,TRH US,Allied World Assurance Co Holdings GmbH,AWHHF US,3324.35,3324.35,Stock, ,Terminated,115,N/A,Friendly,.8800 Aqr sh./Tgt sh.
M&A,11/1/2004, ,7/1/2005,NuStar Pipeline Partners LP,KPP US,NuStar Energy LP,NS US,3318.36,2728.07,Stock,17.72,Completed, ,N/A,Friendly,1.0231 Aqr sh./Tgt sh.
M&A,5/8/2019, ,7/30/2019,Andeavor Logistics LP,ANDX US,MPLX LP,MPLX US,3288.99,3288.99,Stock,7.26,Completed, ,N/A,Friendly,1.1350 Aqr sh./Tgt sh.
M&A,1/27/2020, ,6/8/2020,CenterState Bank Corp,CSFL US,SouthState Corp,SSB US,3259.14,3259.14,Stock, ,Completed,120,N/A,Friendly,.3001 Aqr sh./Tgt sh.
M&A,8/9/2010, ,11/8/2010,Crestwood Holdings LP,NRGP US,Crestwood Equity Partners LP,CEQP US,3222.02,2004.82,Stock,10.36,Completed, ,N/A,Friendly,.7700 Aqr sh./Tgt sh.
M&A,5/3/2010, ,10/1/2010,United Airlines Inc,1281118D US,United Airlines Holdings Inc,UAL US,3185.64,147.64,Stock,8.43,Completed,175,N/A,Friendly,1.0500 Aqr sh./Tgt sh.
M&A,5/23/2023, ,9/13/2023,Necessity Retail REIT Inc/The,RTL US,Global Net Lease Inc,GNL US,3159.23,969.97,Stock,19.52,Completed,40,N/A,Friendly,.6700 Aqr sh./Tgt sh.
M&A,4/18/2005, ,12/5/2005,Macromedia Inc,0941825D US,Adobe Inc,ADBE US,3151.27,3492.15,Stock,30.49,Completed,103.2,N/A,Friendly,1.3800 Aqr sh./Tgt sh.
M&A,4/8/2009, ,8/19/2009,Centex LLC,0226226D US,PulteGroup Inc,PHM US,3089.33,1299.64,Stock, ,Completed,102,N/A,Friendly,.9750 Aqr sh./Tgt sh.
M&A,2/14/2013, ,12/9/2013,US Airways Group Inc,LCC US,American Airlines Group Inc,AAL US,3080,3080,Stock,2.72,Completed,195,N/A,Friendly,211.6986 Mln Sh
M&A,6/14/2015, ,10/1/2015,Ryland Group Inc/The,RYL US,CalAtlantic Group Inc/old,CAA US,3026.23,1999.64,Stock,9.86,Completed,125,N/A,Friendly,1.0191 Aqr sh./Tgt sh.
M&A,3/2/2020, ,7/2/2020,Mobile Mini Inc,MINI US,WillScot Holdings Corp,WSC US,3008.21,2024.07,Stock,12.21,Completed,66.6,N/A,Friendly,2.4050 Aqr sh./Tgt sh.
M&A,12/9/2019, ,5/26/2020,Texas Capital Bancshares Inc,TCBI US,Independent Bank Group Inc,IBTX US,2971.15,2971.15,Stock, ,Terminated,115,N/A,Friendly,1.0311 Aqr sh./Tgt sh.
M&A,7/19/2021, ,10/22/2021,Retail Properties of America Inc,RPAI US,Kite Realty Group Trust,KRG US,2892.16,2892.16,Stock,10.47,Completed, ,N/A,Friendly,.6230 Aqr sh./Tgt sh.
M&A,4/12/2021, ,10/29/2021,Cadence BanCorp,9966911D US,Cadence Bank,CADE US,2869.75,2869.75,Stock, ,Completed, ,N/A,Friendly,.7000 Aqr sh./Tgt sh.
M&A,7/7/2020, ,10/8/2020,Vivint Solar Inc,VSLR US,Sunrun Inc,RUN US,2865.31,1355.18,Stock, ,Completed,107,N/A,Friendly,.5500 Aqr sh./Tgt sh.
M&A,4/24/2008, ,9/30/2008,Wendy's International LLC,3022239Q US,Wendy's Co/The,WEN US,2861.75,2503.34,Stock,9,Completed, ,N/A,Friendly,4.2500 Aqr sh./Tgt sh.
M&A,10/8/2018,1/29/2019,4/11/2019,Rowan Cos Ltd,RDC US,Valaris plc,VALPQ US,2855.93,N/A,Stock,9.8,Completed, ,N/A,Friendly,2.75 Aqr sh./Tgt sh.
M&A,12/14/2011, ,6/5/2012,Novellus Systems Inc,1280712D US,Lam Research Corp,LRCX US,2830.91,3187.99,Stock,7.56,Completed,120,N/A,Friendly,1.1250 Aqr sh./Tgt sh.
